Designator,Mid X,Mid Y,Rotation,Layer
BZ1,11.0,-48.0,180.0,top
C1,20.9,-46.3,90.0,top
C2,1.1,-46.48,90.0,top
C3,20.3,-48.2,180.0,top
C5,19.92,-22.6,180.0,top
C7,17.7,-24.0,90.0,top
C8,3.0,-21.3,90.0,top
C9,2.0,-21.3,90.0,top
D1,19.2,-9.8,180.0,top
D2,18.5,-49.93495,270.0,top
D3,19.2,-11.599898,180.0,top
R1,19.89,-21.6,180.0,top
R10,19.5,-16.6,0.0,top
R2,19.5,-14.4,0.0,top
R3,19.89,-23.6,180.0,top
R4,3.51,-23.4,0.0,top
R5,16.2,-18.6,270.0,top
R6,5.51,-23.4,0.0,top
R8,16.9,-50.2,90.0,top
R9,1.8,-12.9,0.0,top
U1,9.8,-8.6,0.0,top
U3,19.0,-41.5,90.0,top
U4,3.0,-41.5,270.0,top
U5,19.500152,-18.789561,90.0,top
U6,19.6,-13.1,0.0,top
U7,10.0,-29.5,270.0,top
U8,11.0,-37.029007,0.0,top
U9,11.0,-54.6,180.0,bottom
USB1,17.875032,-31.099949,90.0,top
